date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2023-01-01 00:00:00,1655.58,1.66,39.41,5.9,17.88,169.29,194.64,5.83
2023-01-01 01:00:00,1869.2,6.82,42.16,1.99,22.17,182.84,211.08,7.66
2023-01-01 02:00:00,2510.07,27.72,43.87,0.02,30.04,220.25,260.68,11.4
2023-01-01 03:00:00,3150.94,55.43,44.55,0.85,35.76,252.9,304.12,13.55
2023-01-01 04:00:00,3471.37,68.84,45.24,5.45,39.1,266.36,322.8,14.19
2023-01-01 05:00:00,3578.19,64.37,55.52,14.13,44.35,276.54,336.79,16.21
2023-01-01 06:00:00,3578.19,46.94,76.09,33.26,50.54,295.4,357.07,19.25
2023-01-01 07:00:00,1468.66,9.83,47.3,105.86,68.66,158.83,182.61,7.09
2023-01-01 08:00:00,1161.58,5.81,35.99,125.89,61.99,134.39,153.47,5.51
2023-01-01 09:00:00,1161.58,4.58,36.33,134.47,65.8,133.22,152.09,6.02
2023-01-01 10:00:00,2376.56,14.98,80.88,70.1,64.85,197.11,235.99,19.76
2023-01-01 11:00:00,4325.87,54.09,119.27,12.34,66.76,298.82,366.6,34.96
2023-01-01 12:00:00,6141.66,123.38,127.49,0.72,78.2,385.41,474.7,47.62
2023-01-01 13:00:00,8010.86,189.54,137.09,0.0,109.67,493.18,603.98,71.94
2023-01-01 14:00:00,9506.23,225.31,142.57,0.0,141.14,608.62,742.76,96.26
2023-01-01 15:00:00,10253.91,228.88,143.95,0.0,156.4,689.94,840.91,110.45
2023-01-01 16:00:00,10574.34,228.88,146.69,0.0,177.38,743.91,904.27,125.65
2023-01-01 17:00:00,11322.02,236.03,152.17,0.0,205.99,811.4,981.17,147.94
2023-01-01 18:00:00,11535.64,236.03,149.43,0.0,215.53,834.55,1006.18,156.04
2023-01-01 19:00:00,10894.78,221.73,139.83,0.0,202.18,791.61,952.0,147.94
2023-01-01 20:00:00,10147.09,202.06,130.24,0.0,202.18,758.44,911.29,151.99
2023-01-01 21:00:00,9185.79,177.03,120.64,0.0,196.46,722.3,867.55,154.02
2023-01-01 22:00:00,7797.24,144.84,100.08,0.0,127.79,646.22,778.21,102.34
2023-01-01 23:00:00,6622.31,121.59,80.88,0.0,73.43,583.03,700.01,50.16
2023-01-02 00:00:00,6301.88,121.59,68.55,0.0,55.31,577.03,682.86,28.12
2023-01-02 01:00:00,7049.56,146.63,62.38,0.0,54.84,643.62,752.31,24.57
2023-01-02 02:00:00,9292.6,221.73,62.38,0.0,63.9,807.13,944.78,28.63
2023-01-02 03:00:00,11428.83,311.14,68.55,0.16,66.76,940.49,1100.6,26.09
2023-01-02 04:00:00,9506.23,253.92,82.25,1.97,74.39,786.89,919.22,22.55
2023-01-02 05:00:00,9613.04,232.46,116.53,6.71,81.06,802.84,939.02,26.35
2023-01-02 06:00:00,10147.09,171.66,202.89,22.35,95.37,887.45,1025.58,33.44
2023-01-02 07:00:00,2456.67,27.49,105.56,78.68,177.38,303.33,342.39,7.16
2023-01-02 08:00:00,1842.5,14.31,82.25,107.29,141.14,237.73,269.52,5.26
2023-01-02 09:00:00,1895.9,10.51,84.31,123.02,146.87,253.57,287.63,5.38
2023-01-02 10:00:00,3631.59,27.72,131.61,57.94,129.7,368.12,431.92,25.59
2023-01-02 11:00:00,6355.29,93.88,160.4,8.76,118.26,537.38,644.87,52.18
2023-01-02 12:00:00,9078.98,196.7,165.88,0.57,152.59,688.83,835.43,86.13
2023-01-02 13:00:00,11428.83,271.8,175.48,0.0,207.9,838.72,1020.61,133.75
2023-01-02 14:00:00,12283.33,268.22,172.73,0.0,234.6,947.07,1158.61,164.15
2023-01-02 15:00:00,11962.89,227.09,159.03,0.0,219.35,984.28,1208.75,160.1
2023-01-02 16:00:00,11001.59,180.6,142.57,0.0,173.57,980.05,1200.7,122.61
2023-01-02 17:00:00,10360.72,150.2,126.12,0.0,133.51,967.81,1180.92,87.14
2023-01-02 18:00:00,9078.98,125.17,109.67,0.0,91.55,891.85,1086.25,51.68
2023-01-02 19:00:00,7370.0,99.24,93.22,0.0,54.36,775.74,934.68,22.8
2023-01-02 20:00:00,6088.26,76.0,80.2,0.0,42.44,695.45,826.41,15.07
2023-01-02 21:00:00,5180.36,55.88,69.92,0.0,39.58,637.53,746.12,13.81
2023-01-02 22:00:00,4699.71,44.7,63.06,0.0,41.48,602.85,697.48,15.33
2023-01-02 23:00:00,4592.9,44.26,58.95,0.0,48.64,598.74,686.91,20.27
2023-01-03 00:00:00,4806.52,52.75,56.89,0.0,61.99,611.98,699.29,28.88
2023-01-03 01:00:00,5607.6,78.68,56.89,0.0,81.06,666.55,760.43,44.08
2023-01-03 02:00:00,7904.05,151.99,61.69,0.0,90.6,813.7,932.78,52.18
2023-01-03 03:00:00,10253.91,239.61,73.34,0.03,82.97,940.67,1054.16,41.54
2023-01-03 04:00:00,6568.91,128.75,100.08,1.03,82.97,644.99,710.12,23.81
2023-01-03 05:00:00,6355.29,109.97,100.08,5.99,88.69,614.36,684.18,24.07
2023-01-03 06:00:00,6248.47,80.47,122.01,22.71,94.41,612.99,688.4,23.05
2023-01-03 07:00:00,2429.96,21.23,76.77,87.26,127.79,279.92,313.3,6.14
2023-01-03 08:00:00,1628.88,9.61,52.78,121.59,88.69,199.93,225.6,5.95
